Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure (In Months),Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition,event_timestamp
9697,29,Male,9,Healthcare,7538,Fair,Medium,Average,0,No,10.0,Bachelor's Degree,Married,0,Senior,Small,56.0,No,No,No,Good,High,Stayed,2026-07-29 14:25:14.391678
17209,51,Female,41,Finance,8733,Good,High,Average,2,Yes,18.0,Master's Degree,Divorced,3,Mid,Small,56.0,No,No,No,Good,High,Stayed,2026-07-29 14:25:14.391678
45399,57,Female,33,Healthcare,8201,Good,Very High,Average,0,No,50.0,PhD,Married,1,Mid,Medium,56.0,No,No,No,Fair,Medium,Stayed,2026-07-29 14:25:14.391678
58984,39,Female,1,Finance,8079,Excellent,High,High,1,No,50.0,Master's Degree,Single,0,Entry,Medium,56.0,No,No,No,Poor,Low,Left,2026-07-29 14:25:14.391678
24208,36,Male,13,Media,5874,Fair,High,Average,0,No,50.0,High School,Single,1,Mid,Medium,56.0,No,No,No,Good,High,Left,2026-07-29 14:25:14.391678
14291,54,Male,5,Education,4656,Good,Medium,Average,0,Yes,50.0,High School,Single,0,Mid,Medium,56.0,No,No,No,Good,Low,Left,2026-07-29 14:25:14.391678
20748,48,Male,9,Education,4987,Fair,High,Average,1,No,92.0,Associate Degree,Divorced,0,Entry,Medium,56.0,No,No,Yes,Good,Medium,Left,2026-07-29 14:25:14.391678
13394,23,Male,13,Technology,12507,Fair,High,High,0,No,50.0,High School,Single,1,Mid,Medium,56.0,No,No,Yes,Good,Low,Stayed,2026-07-29 14:25:14.391678
65251,45,Female,21,Healthcare,7571,Good,Very High,Average,1,Yes,50.0,Associate Degree,Married,1,Entry,Small,67.0,Yes,No,No,Fair,Medium,Stayed,2026-07-29 14:25:14.391678
6885,48,Male,32,Education,3535,Good,Medium,Average,0,Yes,50.0,Bachelor's Degree,Married,0,Senior,Medium,56.0,No,No,No,Good,Low,Stayed,2026-07-29 14:25:14.391678
68576,45,Female,34,Finance,8330,Excellent,High,Average,0,Yes,50.0,Bachelor's Degree,Married,4,Mid,Medium,91.0,Yes,No,No,Good,High,Stayed,2026-07-29 14:25:14.391678
69149,24,Male,11,Healthcare,6334,Good,High,Average,0,Yes,55.0,Bachelor's Degree,Divorced,2,Senior,Small,56.0,No,No,Yes,Good,Medium,Stayed,2026-07-29 14:25:14.391678
61864,42,Male,1,Technology,8874,Good,Medium,Average,1,No,50.0,Associate Degree,Divorced,2,Entry,Small,56.0,No,No,No,Poor,Very High,Stayed,2026-07-29 14:25:14.391678
29641,53,Male,44,Healthcare,7364,Poor,Medium,Average,1,No,50.0,Associate Degree,Married,0,Mid,Small,56.0,No,Yes,No,Good,High,Left,2026-07-29 14:25:14.391678
65586,39,Male,22,Finance,5556,Good,High,Average,0,No,50.0,Associate Degree,Married,0,Entry,Medium,56.0,No,No,No,Excellent,Low,Left,2026-07-29 14:25:14.391678
15737,37,Male,2,Technology,9293,Good,High,Below Average,0,No,50.0,Bachelor's Degree,Married,0,Mid,Small,56.0,No,No,Yes,Fair,Low,Stayed,2026-07-29 14:25:14.391678
51448,37,Male,6,Finance,7701,Fair,High,Below Average,0,Yes,50.0,High School,Married,1,Entry,Medium,56.0,No,Yes,Yes,Good,Low,Stayed,2026-07-29 14:25:14.391678
12259,31,Male,18,Media,5105,Poor,Low,Average,2,No,50.0,Bachelor's Degree,Single,2,Senior,Small,56.0,No,No,Yes,Excellent,Very High,Left,2026-07-29 14:25:14.391678
8881,37,Male,9,Healthcare,8632,Fair,High,Average,2,No,50.0,Master's Degree,Divorced,2,Senior,Medium,86.0,Yes,No,No,Poor,High,Stayed,2026-07-29 14:25:14.391678
17543,45,Female,27,Media,5315,Good,High,Average,2,Yes,50.0,Associate Degree,Married,4,Entry,Small,56.0,No,No,Yes,Poor,Low,Stayed,2026-07-29 14:25:14.391678
74472,57,Female,23,Media,5938,Excellent,Very High,Average,2,Yes,50.0,Master's Degree,Divorced,3,Mid,Medium,56.0,No,No,No,Good,Medium,Stayed,2026-07-29 14:25:14.391678
64075,42,Female,2,Media,6213,Fair,High,Average,0,No,50.0,Bachelor's Degree,Single,4,Entry,Small,56.0,No,No,No,Good,Medium,Left,2026-07-29 14:25:14.391678
54804,31,Female,17,Media,5956,Fair,Low,Average,0,No,50.0,Bachelor's Degree,Divorced,4,Entry,Small,56.0,No,No,No,Good,Low,Left,2026-07-29 14:25:14.391678
24350,56,Female,22,Media,6605,Excellent,High,Below Average,2,Yes,50.0,Bachelor's Degree,Married,2,Mid,Medium,56.0,No,No,No,Good,Low,Stayed,2026-07-29 14:25:14.391678
72189,34,Male,12,Finance,8274,Good,Very High,Below Average,0,Yes,50.0,Bachelor's Degree,Single,1,Entry,Medium,56.0,No,No,No,Poor,Low,Left,2026-07-29 14:25:14.391678
36437,56,Male,7,Technology,9878,Good,Very High,Average,2,No,50.0,Master's Degree,Single,1,Entry,Small,56.0,No,No,No,Good,Low,Left,2026-07-29 14:25:14.391678
34857,47,Female,36,Technology,8442,Fair,Low,High,1,No,50.0,Associate Degree,Single,0,Entry,Medium,67.0,Yes,No,No,Poor,Low,Left,2026-07-29 14:25:14.391678
26304,25,Female,2,Healthcare,6690,Fair,Low,High,0,Yes,50.0,Associate Degree,Married,2,Entry,Medium,25.0,Yes,No,No,Good,Medium,Stayed,2026-07-29 14:25:14.391678
33177,25,Female,3,Healthcare,8397,Excellent,High,Below Average,0,Yes,50.0,Bachelor's Degree,Married,3,Entry,Small,49.0,Yes,No,No,Poor,Low,Stayed,2026-07-29 14:25:14.391678
70003,36,Male,8,Technology,9775,Fair,High,Average,1,Yes,50.0,Bachelor's Degree,Single,1,Mid,Medium,56.0,No,No,Yes,Good,High,Left,2026-07-29 14:25:14.391678
63046,41,Male,28,Media,5586,Good,High,Average,0,No,50.0,Associate Degree,Married,0,Entry,Small,56.0,No,No,No,Good,Medium,Stayed,2026-07-29 14:25:14.391678
30924,55,Female,6,Healthcare,9355,Fair,Very High,Average,0,Yes,50.0,Bachelor's Degree,Married,3,Senior,Small,56.0,No,No,Yes,Poor,High,Left,2026-07-29 14:25:14.391678
5254,48,Female,18,Technology,7976,Fair,High,High,0,Yes,50.0,High School,Single,2,Mid,Small,56.0,No,No,No,Good,Medium,Left,2026-07-29 14:25:14.391678
33430,21,Male,11,Media,6356,Poor,High,Average,0,No,50.0,Associate Degree,Married,0,Senior,Medium,56.0,No,No,No,Good,High,Stayed,2026-07-29 14:25:14.391678
67450,34,Male,21,Media,5967,Fair,Low,Average,1,No,50.0,Bachelor's Degree,Married,0,Mid,Small,56.0,Yes,No,No,Good,Medium,Stayed,2026-07-29 14:25:14.391678
66579,28,Female,12,Technology,10111,Fair,Medium,Average,2,No,50.0,High School,Married,3,Mid,Small,56.0,No,No,No,Good,Low,Stayed,2026-07-29 14:25:14.391678
54104,26,Male,3,Finance,8673,Excellent,High,Average,0,No,50.0,Associate Degree,Single,1,Entry,Large,56.0,No,No,Yes,Good,Medium,Left,2026-07-29 14:25:14.391678
18361,47,Male,22,Education,5040,Fair,Very High,Low,3,Yes,50.0,High School,Married,0,Mid,Medium,56.0,Yes,No,No,Good,Low,Stayed,2026-07-29 14:25:14.391678
4098,30,Female,22,Technology,9894,Poor,Low,Average,1,No,50.0,Associate Degree,Single,2,Entry,Small,56.0,Yes,No,No,Excellent,Medium,Left,2026-07-29 14:25:14.391678
27742,24,Male,13,Technology,6785,Good,High,Average,0,No,50.0,Bachelor's Degree,Single,3,Senior,Small,56.0,No,No,Yes,Fair,High,Left,2026-07-29 14:25:14.391678
1591,23,Female,2,Finance,7368,Fair,Very High,Below Average,0,No,50.0,Master's Degree,Married,3,Senior,Small,56.0,No,No,Yes,Good,High,Stayed,2026-07-29 14:25:14.391678
27451,52,Male,34,Media,5154,Fair,Medium,Average,0,Yes,50.0,High School,Single,2,Mid,Small,56.0,No,No,No,Fair,Medium,Left,2026-07-29 14:25:14.391678
58305,51,Male,16,Healthcare,8407,Good,Very High,Average,1,No,50.0,Bachelor's Degree,Single,1,Entry,Small,56.0,No,No,No,Good,Low,Left,2026-07-29 14:25:14.391678
19684,50,Male,21,Education,4195,Good,Very High,Average,2,Yes,50.0,Bachelor's Degree,Married,2,Entry,Small,56.0,Yes,No,No,Good,Very High,Stayed,2026-07-29 14:25:14.391678
9392,45,Male,6,Education,4451,Fair,High,Average,0,No,50.0,High School,Married,2,Entry,Large,56.0,No,No,No,Fair,Medium,Stayed,2026-07-29 14:25:14.391678
18598,31,Female,11,Technology,10122,Fair,High,Average,2,No,50.0,Bachelor's Degree,Married,0,Senior,Small,56.0,Yes,No,No,Poor,Low,Stayed,2026-07-29 14:25:14.391678
70231,50,Male,35,Finance,7303,Good,High,Below Average,1,Yes,50.0,High School,Married,1,Entry,Medium,56.0,Yes,No,Yes,Poor,High,Stayed,2026-07-29 14:25:14.391678
65665,29,Male,8,Finance,7946,Poor,Very High,Average,0,No,50.0,Associate Degree,Single,1,Mid,Medium,56.0,No,Yes,No,Poor,High,Left,2026-07-29 14:25:14.391678
64242,27,Male,14,Finance,6026,Poor,High,Below Average,0,Yes,50.0,Bachelor's Degree,Single,2,Mid,Large,56.0,No,No,No,Good,High,Left,2026-07-29 14:25:14.391678
23287,48,Male,1,Technology,10135,Poor,High,Low,0,Yes,50.0,Bachelor's Degree,Single,3,Entry,Small,56.0,No,No,No,Good,Medium,Left,2026-07-29 14:25:14.391678
12556,47,Male,24,Healthcare,8631,Fair,Very High,High,0,No,50.0,Bachelor's Degree,Married,3,Senior,Medium,56.0,No,No,No,Poor,Low,Stayed,2026-07-29 14:25:14.391678
68364,41,Female,11,Education,4431,Poor,Very High,High,0,No,50.0,Associate Degree,Married,2,Senior,Medium,56.0,No,No,No,Excellent,Low,Left,2026-07-29 14:25:14.391678
31457,53,Female,2,Education,3598,Good,High,Average,0,Yes,50.0,Associate Degree,Single,1,Entry,Large,56.0,No,No,Yes,Fair,Medium,Left,2026-07-29 14:25:14.391678
14169,37,Female,2,Healthcare,7949,Excellent,Medium,Average,0,No,50.0,High School,Married,5,Entry,Large,56.0,Yes,No,No,Excellent,Low,Stayed,2026-07-29 14:25:14.391678
43193,21,Female,10,Healthcare,7967,Fair,High,Average,0,No,50.0,Master's Degree,Single,1,Senior,Large,56.0,No,No,No,Fair,High,Stayed,2026-07-29 14:25:14.391678
67257,53,Female,23,Healthcare,8876,Fair,Low,Average,2,Yes,50.0,High School,Married,3,Entry,Medium,56.0,No,No,Yes,Good,High,Left,2026-07-29 14:25:14.391678
52985,45,Female,28,Media,6628,Good,High,Average,0,Yes,50.0,Bachelor's Degree,Married,3,Senior,Medium,56.0,No,No,No,Fair,Low,Left,2026-07-29 14:25:14.391678
31826,49,Male,9,Healthcare,8340,Good,High,High,1,No,50.0,Bachelor's Degree,Single,0,Entry,Large,56.0,No,No,No,Fair,Low,Left,2026-07-29 14:25:14.391678
64500,37,Male,22,Finance,10080,Poor,High,Average,0,No,50.0,Bachelor's Degree,Married,1,Mid,Medium,56.0,No,No,No,Good,Medium,Left,2026-07-29 14:25:14.391678
24841,39,Male,9,Finance,8860,Good,Medium,Below Average,0,Yes,50.0,Bachelor's Degree,Married,1,Mid,Medium,56.0,No,No,No,Fair,Medium,Left,2026-07-29 14:25:14.391678
62882,27,Male,17,Media,5678,Fair,High,Average,2,No,50.0,Bachelor's Degree,Married,2,Mid,Medium,56.0,No,No,No,Good,Low,Stayed,2026-07-29 14:25:14.391678
7424,58,Male,14,Technology,8683,Poor,High,Average,2,No,50.0,Bachelor's Degree,Divorced,0,Senior,Large,56.0,Yes,Yes,Yes,Good,Low,Stayed,2026-07-29 14:25:14.391678
9870,49,Female,2,Education,4042,Good,High,Below Average,0,No,50.0,Associate Degree,Divorced,2,Entry,Medium,56.0,No,No,No,Good,High,Left,2026-07-29 14:25:14.391678
6688,54,Male,24,Technology,9737,Poor,Medium,Below Average,0,No,50.0,Bachelor's Degree,Married,0,Entry,Medium,56.0,Yes,No,No,Fair,Low,Stayed,2026-07-29 14:25:14.391678
3625,38,Male,18,Education,5246,Good,High,High,0,Yes,50.0,Master's Degree,Divorced,2,Mid,Medium,56.0,No,No,No,Good,Low,Left,2026-07-29 14:25:14.391678
66157,19,Female,1,Finance,10141,Good,High,Average,1,No,50.0,Bachelor's Degree,Single,1,Entry,Large,56.0,No,No,Yes,Fair,Medium,Left,2026-07-29 14:25:14.391678
46550,43,Male,34,Technology,9033,Good,High,Below Average,1,No,50.0,High School,Married,10,Entry,Medium,56.0,No,No,No,Poor,Medium,Stayed,2026-07-29 14:25:14.391678
60485,30,Male,10,Media,5397,Excellent,Low,Average,1,Yes,50.0,Bachelor's Degree,Married,0,Entry,Large,56.0,No,No,No,Poor,Low,Left,2026-07-29 14:25:14.391678
26078,31,Male,19,Healthcare,6135,Good,High,High,0,No,50.0,PhD,Single,0,Entry,Medium,56.0,No,No,No,Good,Medium,Stayed,2026-07-29 14:25:14.391678
13319,47,Male,28,Healthcare,7063,Poor,Very High,Below Average,0,No,50.0,Associate Degree,Married,0,Senior,Medium,56.0,No,No,Yes,Good,Medium,Stayed,2026-07-29 14:25:14.391678
65739,58,Female,40,Media,6940,Good,High,High,0,No,50.0,Bachelor's Degree,Married,1,Senior,Large,56.0,Yes,No,No,Poor,Medium,Stayed,2026-07-29 14:25:14.391678
43732,40,Male,17,Education,4733,Poor,High,Below Average,1,No,50.0,PhD,Married,4,Entry,Small,56.0,No,No,No,Excellent,Medium,Stayed,2026-07-29 14:25:14.391678
45545,35,Male,17,Healthcare,7625,Good,High,High,0,No,50.0,Bachelor's Degree,Married,0,Mid,Large,56.0,No,No,No,Good,High,Stayed,2026-07-29 14:25:14.391678
72101,31,Female,2,Technology,6640,Fair,Medium,Average,0,No,50.0,Associate Degree,Divorced,4,Senior,Large,56.0,No,No,Yes,Good,High,Stayed,2026-07-29 14:25:14.391678
46992,31,Male,8,Technology,7287,Excellent,Medium,High,2,Yes,50.0,Master's Degree,Single,0,Entry,Small,56.0,No,No,Yes,Excellent,Medium,Stayed,2026-07-29 14:25:14.391678
54577,40,Male,5,Healthcare,6993,Fair,Medium,Average,0,Yes,50.0,High School,Single,0,Entry,Large,56.0,No,No,No,Fair,Low,Left,2026-07-29 14:25:14.391678
23371,49,Female,22,Finance,12041,Excellent,High,Low,0,No,50.0,PhD,Single,6,Mid,Small,56.0,No,No,Yes,Good,Low,Stayed,2026-07-29 14:25:14.391678
41178,33,Female,1,Finance,6534,Fair,Low,Average,1,No,50.0,Master's Degree,Single,4,Entry,Small,56.0,No,No,No,Good,Medium,Left,2026-07-29 14:25:14.391678
17004,52,Male,15,Healthcare,7529,Good,Medium,Average,0,No,50.0,Bachelor's Degree,Married,5,Entry,Large,56.0,No,No,No,Good,Very High,Stayed,2026-07-29 14:25:14.391678
18068,51,Male,12,Finance,4421,Good,High,Average,1,No,50.0,Master's Degree,Single,0,Entry,Medium,56.0,Yes,No,No,Good,High,Stayed,2026-07-29 14:25:14.391678
19252,27,Female,11,Technology,9197,Good,High,High,0,Yes,50.0,High School,Married,10,Senior,Large,56.0,No,No,No,Good,Medium,Stayed,2026-07-29 14:25:14.391678
65212,58,Male,6,Healthcare,8762,Fair,High,High,0,Yes,50.0,Bachelor's Degree,Married,0,Entry,Small,56.0,No,No,No,Good,Medium,Left,2026-07-29 14:25:14.391678
36263,42,Female,7,Technology,8744,Good,Medium,High,1,Yes,50.0,High School,Single,3,Entry,Small,56.0,Yes,No,Yes,Good,Medium,Left,2026-07-29 14:25:14.391678
23691,26,Male,3,Healthcare,7406,Good,Low,Low,3,No,50.0,Associate Degree,Married,0,Entry,Medium,56.0,Yes,No,No,Poor,Low,Left,2026-07-29 14:25:14.391678
20242,37,Female,7,Media,6099,Good,High,High,0,No,50.0,Bachelor's Degree,Married,0,Senior,Small,56.0,Yes,No,No,Excellent,Low,Stayed,2026-07-29 14:25:14.391678
52881,55,Male,13,Technology,9626,Good,High,Average,2,No,50.0,Bachelor's Degree,Single,0,Senior,Small,56.0,No,No,Yes,Good,High,Stayed,2026-07-29 14:25:14.391678
32705,46,Female,6,Technology,10298,Fair,High,Average,0,No,50.0,Bachelor's Degree,Single,0,Entry,Medium,56.0,No,No,No,Fair,Low,Left,2026-07-29 14:25:14.391678
71450,41,Male,2,Technology,8972,Good,Very High,Average,1,No,50.0,Master's Degree,Divorced,1,Mid,Large,56.0,No,No,Yes,Excellent,Low,Left,2026-07-29 14:25:14.391678
29475,58,Female,14,Technology,9501,Fair,Medium,Average,1,Yes,50.0,Bachelor's Degree,Single,4,Entry,Large,56.0,No,No,No,Poor,Medium,Left,2026-07-29 14:25:14.391678
34465,40,Female,22,Education,4023,Excellent,Very High,Low,0,No,50.0,Master's Degree,Married,4,Entry,Medium,56.0,No,Yes,No,Good,Medium,Left,2026-07-29 14:25:14.391678
21012,53,Male,41,Finance,8332,Poor,High,Below Average,0,No,50.0,Master's Degree,Single,4,Entry,Medium,56.0,No,No,No,Good,High,Left,2026-07-29 14:25:14.391678
42659,46,Female,9,Education,4237,Fair,Medium,Average,0,Yes,50.0,Bachelor's Degree,Married,1,Senior,Large,56.0,No,No,No,Poor,Medium,Left,2026-07-29 14:25:14.391678
47934,45,Male,9,Education,6437,Fair,High,High,1,No,50.0,Associate Degree,Married,4,Mid,Medium,56.0,No,No,No,Poor,Medium,Left,2026-07-29 14:25:14.391678
71441,56,Male,32,Healthcare,6690,Excellent,Medium,High,1,No,50.0,High School,Married,10,Entry,Small,56.0,No,No,No,Fair,Low,Stayed,2026-07-29 14:25:14.391678
63893,23,Male,11,Technology,7038,Good,Medium,Average,0,No,50.0,Associate Degree,Married,0,Entry,Large,56.0,No,No,No,Fair,Low,Left,2026-07-29 14:25:14.391678
29637,55,Male,40,Healthcare,9177,Fair,Low,Below Average,0,No,50.0,Associate Degree,Single,0,Mid,Medium,56.0,No,No,No,Excellent,Low,Left,2026-07-29 14:25:14.391678
38110,48,Female,19,Technology,8761,Good,High,Below Average,0,No,50.0,High School,Married,10,Entry,Medium,56.0,Yes,No,No,Poor,Very High,Stayed,2026-07-29 14:25:14.391678
70639,47,Male,24,Media,5428,Excellent,Low,Average,0,Yes,50.0,Associate Degree,Divorced,1,Entry,Medium,56.0,No,No,No,Good,Medium,Stayed,2026-07-29 14:25:14.391678
8021,26,Female,8,Healthcare,7859,Good,Medium,Average,4,No,50.0,High School,Married,10,Senior,Small,56.0,No,No,No,Good,Low,Stayed,2026-07-29 14:25:14.391678
28368,21,Male,4,Technology,10298,Good,High,Average,2,No,50.0,High School,Single,0,Senior,Medium,56.0,No,No,No,Fair,Low,Left,2026-07-29 14:25:14.391678
575,44,Male,13,Healthcare,7430,Good,Low,Average,1,Yes,50.0,Associate Degree,Married,3,Mid,Medium,56.0,No,No,No,Good,Low,Stayed,2026-07-29 14:25:14.391678
49959,24,Male,2,Education,4573,Fair,High,High,2,Yes,50.0,Bachelor's Degree,Married,0,Senior,Small,56.0,No,No,No,Good,Medium,Stayed,2026-07-29 14:25:14.391678
72401,31,Male,13,Technology,9434,Good,Very High,Below Average,0,No,50.0,Bachelor's Degree,Married,0,Mid,Medium,56.0,Yes,No,No,Fair,Low,Stayed,2026-07-29 14:25:14.391678
24980,45,Female,24,Finance,4583,Excellent,Very High,High,2,Yes,50.0,Associate Degree,Married,1,Mid,Medium,56.0,No,No,No,Good,Medium,Left,2026-07-29 14:25:14.391678
11385,19,Male,3,Healthcare,7979,Fair,Medium,Low,1,Yes,50.0,High School,Married,10,Entry,Medium,56.0,No,No,Yes,Fair,Medium,Left,2026-07-29 14:25:14.391678
4856,59,Female,30,Technology,10166,Excellent,High,Average,1,No,50.0,Associate Degree,Married,1,Entry,Medium,56.0,No,No,No,Good,High,Left,2026-07-29 14:25:14.391678
14265,50,Male,35,Media,5316,Fair,High,Average,2,No,50.0,Bachelor's Degree,Married,0,Mid,Medium,56.0,Yes,No,No,Good,Medium,Stayed,2026-07-29 14:25:14.391678
370,59,Male,45,Technology,10030,Good,Low,Average,2,No,50.0,High School,Married,10,Mid,Large,56.0,No,No,No,Poor,Low,Left,2026-07-29 14:25:14.391678
25774,54,Male,2,Healthcare,8736,Good,Very High,Average,0,Yes,50.0,Associate Degree,Single,1,Entry,Small,56.0,No,No,No,Poor,Low,Left,2026-07-29 14:25:14.391678
53105,58,Female,39,Healthcare,6929,Fair,High,High,0,No,50.0,Associate Degree,Married,3,Entry,Large,56.0,No,Yes,Yes,Poor,High,Left,2026-07-29 14:25:14.391678
40919,21,Male,2,Healthcare,10167,Fair,High,High,0,Yes,50.0,Associate Degree,Married,2,Mid,Medium,56.0,No,No,No,Fair,Medium,Left,2026-07-29 14:25:14.391678
63135,51,Male,16,Healthcare,9063,Poor,Very High,Average,0,No,50.0,Associate Degree,Single,1,Mid,Small,56.0,No,No,Yes,Good,Low,Left,2026-07-29 14:25:14.391678
65852,45,Female,20,Healthcare,8926,Excellent,High,Average,4,No,50.0,High School,Single,1,Senior,Small,56.0,Yes,No,No,Good,Medium,Stayed,2026-07-29 14:25:14.391678
32413,30,Female,15,Education,3204,Good,High,Low,0,No,50.0,Bachelor's Degree,Divorced,1,Senior,Small,56.0,No,Yes,No,Excellent,Low,Stayed,2026-07-29 14:25:14.391678
71343,29,Female,11,Finance,9306,Fair,High,Average,0,No,50.0,Master's Degree,Single,2,Entry,Large,56.0,No,No,No,Excellent,Low,Left,2026-07-29 14:25:14.391678
27498,59,Male,43,Education,4862,Good,Low,Average,0,No,50.0,Associate Degree,Married,1,Mid,Small,56.0,No,No,No,Good,High,Stayed,2026-07-29 14:25:14.391678
57482,35,Female,26,Technology,7576,Excellent,High,Low,4,No,50.0,High School,Married,10,Mid,Small,56.0,No,No,Yes,Good,Low,Stayed,2026-07-29 14:25:14.391678
38163,40,Female,29,Finance,11735,Fair,High,Average,3,No,50.0,Associate Degree,Divorced,3,Entry,Small,56.0,No,No,No,Fair,Medium,Stayed,2026-07-29 14:25:14.391678
55188,20,Male,2,Media,6453,Excellent,Medium,Average,0,No,50.0,Associate Degree,Married,0,Entry,Small,56.0,No,No,No,Good,High,Stayed,2026-07-29 14:25:14.391678
43292,50,Male,18,Technology,7359,Good,High,High,1,No,50.0,Associate Degree,Divorced,2,Entry,Medium,56.0,No,No,No,Good,Low,Left,2026-07-29 14:25:14.391678
72087,44,Male,35,Healthcare,7838,Fair,High,Average,1,No,50.0,Associate Degree,Married,4,Senior,Small,56.0,No,No,No,Excellent,High,Stayed,2026-07-29 14:25:14.391678
23689,20,Female,3,Technology,10943,Poor,High,Below Average,0,No,50.0,Associate Degree,Single,0,Entry,Medium,56.0,No,No,No,Fair,Medium,Left,2026-07-29 14:25:14.391678
41073,28,Male,20,Finance,10513,Good,High,Average,0,No,50.0,Bachelor's Degree,Married,1,Mid,Medium,56.0,No,Yes,No,Poor,Medium,Stayed,2026-07-29 14:25:14.391678
24229,28,Male,6,Healthcare,6669,Good,Very High,High,0,No,50.0,PhD,Single,3,Mid,Large,56.0,No,No,No,Poor,Low,Left,2026-07-29 14:25:14.391678
26101,36,Male,17,Technology,8309,Good,High,Average,2,Yes,50.0,Associate Degree,Single,0,Mid,Large,56.0,No,No,No,Good,Low,Stayed,2026-07-29 14:25:14.391678
18495,40,Male,4,Media,6426,Fair,High,Average,0,No,50.0,Bachelor's Degree,Married,1,Entry,Medium,56.0,No,No,No,Excellent,Medium,Left,2026-07-29 14:25:14.391678
70389,56,Female,46,Healthcare,8423,Good,High,High,0,No,50.0,Master's Degree,Single,3,Entry,Medium,56.0,No,No,No,Fair,Medium,Left,2026-07-29 14:25:14.391678
13011,47,Male,1,Technology,8723,Good,Very High,High,2,No,50.0,High School,Married,10,Senior,Small,56.0,No,No,No,Fair,Low,Stayed,2026-07-29 14:25:14.391678
